"csv_nid","csv_fid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"39725","13934","yoyo_2.jpg","public://news/2018/yoyo_2.jpg","image/jpeg","","","1539368592","2018","10"
"39725","13935","roby_and_darren_at_work_2.jpg","public://news/2018/roby_and_darren_at_work_2.jpg","image/jpeg","","","1539368592","2018","10"
"39725","13933","darren_and_roby_2.jpg","public://news/2018/darren_and_roby_2.jpg","image/jpeg","","","1539368592","2018","10"
"39737","13952","walker2_1.jpg","public://news/2018/walker2_1.jpg","image/jpeg","","","1539368592","2018","10"
"39737","13953","walker_researchers_1.jpg","public://news/2018/walker_researchers_1.jpg","image/jpeg","","","1539368592","2018","10"
"11725","2880","deansteve_square.jpg","public://news/2018/deansteve_square.jpg","image/jpeg","","","1536596193","2018","09"
"39748","13968","toysfamily_2.jpg","public://news/2018/toysfamily_2.jpg","image/jpeg","","","1539368592","2018","10"
"39755","13975","nickb_170827_0619_2.jpg","public://news/2018/nickb_170827_0619_2.jpg","image/jpeg","","","1539368592","2018","10"
"39757","13977","img_3278_1.jpg","public://news/2018/img_3278_1.jpg","image/jpeg","","","1539368592","2018","10"
"39757","13978","img_3639_1.jpg","public://news/2018/img_3639_1.jpg","image/jpeg","","","1539368592","2018","10"
"39757","13979","stem_1.jpg","public://news/2018/stem_1.jpg","image/jpeg","","","1539368592","2018","10"
"39757","13980","img_3450_1.jpg","public://news/2018/img_3450_1.jpg","image/jpeg","","","1539368592","2018","10"
"39757","13981","img_3322_1.jpg","public://news/2018/img_3322_1.jpg","image/jpeg","","","1539368592","2018","10"
"39757","13982","coffee_1.png","public://news/2018/coffee_1.png","image/png","","","1539368592","2018","10"
"39757","13983","toptime2_1.jpg","public://news/2018/toptime2_1.jpg","image/jpeg","","","1539368592","2018","10"
"39758","13984","coe_2018_rankings_0_2.png","public://news/2018/coe_2018_rankings_0_2.png","image/png","","","1539368592","2018","10"
"39761","13998","4y4a8594_1.jpg","public://news/2018/4y4a8594_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13990","jim_peliksza-buzzra_1_1.png","public://news/2018/jim_peliksza-buzzra_1_1.png","image/png","","","1539368592","2018","10"
"39761","13999","4y4a8599_1.jpg","public://news/2018/4y4a8599_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13991","21231298_10102489306157429_4270450476372104228_n_1.jpg","public://news/2018/21231298_10102489306157429_4270450476372104228_n_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14000","4y4a8606_1.jpg","public://news/2018/4y4a8606_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13992","dragon_con_2_1.jpg","public://news/2018/dragon_con_2_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14001","4y4a8625_1.jpg","public://news/2018/4y4a8625_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13993","dc3_1.jpg","public://news/2018/dc3_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14002","4y4a8633_1.jpg","public://news/2018/4y4a8633_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14003","4y4a8639_1.jpg","public://news/2018/4y4a8639_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14004","4y4a8648_1.jpg","public://news/2018/4y4a8648_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14005","4y4a8688_1.jpg","public://news/2018/4y4a8688_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14006","4y4a8732_1.jpg","public://news/2018/4y4a8732_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14007","4y4a8739_1.jpg","public://news/2018/4y4a8739_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14008","4y4a8745_1.jpg","public://news/2018/4y4a8745_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","14009","4y4a8750_1.jpg","public://news/2018/4y4a8750_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13994","img_3124_1.jpg","public://news/2018/img_3124_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13995","img_3131_1.jpg","public://news/2018/img_3131_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13996","pulse_1.jpg","public://news/2018/pulse_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13988","crowd_1.jpg","public://news/2018/crowd_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13997","_y4a8548_1.jpg","public://news/2018/_y4a8548_1.jpg","image/jpeg","","","1539368592","2018","10"
"39761","13989","wonder_women_1.jpg","public://news/2018/wonder_women_1.jpg","image/jpeg","","","1539368592","2018","10"
"39768","14016","omsa_infographic_1.jpg","public://news/2018/omsa_infographic_1.jpg","image/jpeg","","","1539368592","2018","10"
"11724","2881","img_2386.jpg","public://news/2018/img_2386.jpg","image/jpeg","","","1536596193","2018","09"
"11724","2882","_y4a2648.jpg","public://news/2018/_y4a2648.jpg","image/jpeg","","","1536596193","2018","09"
