"csv_fid","csv_pid","csv_alt","csv_mime","csv_filename","csv_filepath","csv_status","csv_title","csv_date","csv_caption","csv_date_y","csv_date_m"
"18129","4223","","image/jpeg","wonyalucas_hero.jpg","public://cta/wonyalucas_hero.jpg","Permanent","","1610570134","","2021","01"
"18114","4224","","image/jpeg","jore_rectangle.jpg","public://cta/jore_rectangle.jpg","Permanent","","1610467341","","2021","01"
"18114","4224","","image/jpeg","jore_rectangle.jpg","public://cta/jore_rectangle.jpg","Permanent","","1610467341","","2021","01"
"18117","4225","","image/jpeg","quinelle1_.jpg","public://cta/quinelle1_.jpg","Permanent","","1610467455","","2021","01"
"18117","4225","","image/jpeg","quinelle1_.jpg","public://cta/quinelle1_.jpg","Permanent","","1610467455","","2021","01"
"18136","4236","","image/jpeg","podcast-adjo_web-social.jpg","public://cta/podcast-adjo_web-social.jpg","Permanent","","1610632448","","2021","01"
"18136","4236","","image/jpeg","podcast-adjo_web-social.jpg","public://cta/podcast-adjo_web-social.jpg","Permanent","","1610632448","","2021","01"
"18137","4237","","image/jpeg","podcast-beyah_web-social.jpg","public://cta/podcast-beyah_web-social.jpg","Permanent","","1610632448","","2021","01"
"18137","4237","","image/jpeg","podcast-beyah_web-social.jpg","public://cta/podcast-beyah_web-social.jpg","Permanent","","1610632448","","2021","01"
"18138","4238","","image/jpeg","740xx_scale.jpg","public://cta/740xx_scale.jpg","Permanent","","1610636366","","2021","01"
"18138","4238","","image/jpeg","740xx_scale.jpg","public://cta/740xx_scale.jpg","Permanent","","1610636366","","2021","01"
"18141","4239","","image/jpeg","20c10200-p31-003.jpg","public://cta/20c10200-p31-003.jpg","Permanent","","1610640775","","2021","01"
"18141","4239","","image/jpeg","20c10200-p31-003.jpg","public://cta/20c10200-p31-003.jpg","Permanent","","1610640775","","2021","01"
"18229","4314","","image/jpeg","2020-natl-acad-engineering.jpg","public://cta/2020-natl-acad-engineering.jpg","Permanent","","1612909568","","2021","02"
