"csv_fid","csv_nid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"16524","42552","gatech6.20.13_045.jpg","public://news/featured/header/gatech6.20.13_045.jpg","image/jpeg","","","1560516528","2019","06"
"16492","42547","saad4.jpg","public://news/featured/header/saad4.jpg","image/jpeg","","","1559567012","2019","06"
"16489","42539","47799647562_46a2c2c553_k.jpg","public://news/featured/header/47799647562_46a2c2c553_k.jpg","image/jpeg","","","1559304947","2019","05"
"16438","42522","spr2019mag_feat-pitch.png","public://news/featured/header/spr2019mag_feat-pitch.png","image/png","","","1556547708","2019","04"
"16403","42521","nickb_170827_0652.jpg","public://news/featured/header/nickb_170827_0652.jpg","image/jpeg","","","1555505264","2019","04"
"16388","42518","xwing_web.png","public://news/featured/header/xwing_web.png","image/png","","","1555342859","2019","04"
"16364","42513","spr2019mag_feat-1200_bme.png","public://news/featured/header/spr2019mag_feat-1200_bme.png","image/png","","","1555336181","2019","04"
"16354","42512","nextfrontiers_airquality_1.png","public://news/featured/header/nextfrontiers_airquality_1.png","image/png","","","1555082654","2019","04"
"16396","42511","gt_facultygroupphotos_web2.png","public://news/featured/header/gt_facultygroupphotos_web2.png","image/png","","","1555425289","2019","04"
"16347","42510","img_1451_edit_web.jpg","public://news/featured/header/img_1451_edit_web.jpg","image/jpeg","","","1555008592","2019","04"
"16363","42509","thumbnail_dinner_awardees.jpg","public://news/featured/header/thumbnail_dinner_awardees.jpg","image/jpeg","","","1555087516","2019","04"
"16411","42507","190313r077-web.png","public://news/featured/header/190313r077-web.png","image/png","","","1555529142","2019","04"
"16409","42506","sx_storytelling-15_web.png","public://news/featured/header/sx_storytelling-15_web.png","image/png","","","1555528604","2019","04"
"16322","42503","zick39.jpg","public://news/featured/header/zick39.jpg","image/jpeg","","","1554994710","2019","04"
"16302","42496","original_1.jpg","public://news/featured/header/original_1.jpg","image/jpeg","","","1553882958","2019","03"
"16250","42489","magnus2.png","public://news/featured/header/magnus2.png","image/png","","","1552405606","2019","03"
"16244","42487","usnwr-2019-grad_1200.png","public://news/featured/header/usnwr-2019-grad_1200.png","image/png","","","1552313891","2019","03"
"16240","42486","group_photo_0.jpg","public://news/featured/header/group_photo_0.jpg","image/jpeg","","","1552098245","2019","03"
"16182","42475","sloanpics.jpg","public://news/featured/header/sloanpics.jpg","image/jpeg","","","1550765694","2019","02"
"16154","42468","spreaker-cover-photo_6b.jpg","public://news/featured/header/spreaker-cover-photo_6b.jpg","image/jpeg","","","1549894604","2019","02"
"16146","42466","nae-2019-feat_1200.jpg","public://news/featured/header/nae-2019-feat_1200.jpg","image/jpeg","","","1549650195","2019","02"
"16077","42444","sei-feat.jpg","public://news/featured/header/sei-feat.jpg","image/jpeg","","","1544117144","2018","12"
"16108","42443","crescendo-feat-rev-1200.jpg","public://news/featured/header/crescendo-feat-rev-1200.jpg","image/jpeg","","","1545063754","2018","12"
"15905","42419","cubesat-feat_1200px.jpg","public://news/featured/header/cubesat-feat_1200px.jpg","image/jpeg","","","1543854146","2018","12"
"16081","42395","wreckracing.jpg","public://news/featured/header/wreckracing.jpg","image/jpeg","","","1544451896","2018","12"
"15803","42387","fall2018mag_flufeat_1200.jpg","public://news/featured/header/fall2018mag_flufeat_1200.jpg","image/jpeg","","","1542652514","2018","11"
"15807","42386","fall2018mag_haitifeat_1200.jpg","public://news/featured/header/fall2018mag_haitifeat_1200.jpg","image/jpeg","","","1542652691","2018","11"
"15804","42385","fall2018mag_greatergoodfeat_1200.jpg","public://news/featured/header/fall2018mag_greatergoodfeat_1200.jpg","image/jpeg","","","1542652533","2018","11"
"15805","42383","fall2018mag_waterfeat_1200.jpg","public://news/featured/header/fall2018mag_waterfeat_1200.jpg","image/jpeg","","","1542652541","2018","11"
"16032","42437","1116murphy.jpg","public://news/featured/header/1116murphy.jpg","image/jpeg","","","1544037231","2018","12"
"16034","42438","gettyimages-626654952.jpg","public://news/featured/header/gettyimages-626654952.jpg","image/jpeg","","","1544037506","2018","12"
"16037","42439","workers_w_fuel.jpg","public://news/featured/header/workers_w_fuel.jpg","image/jpeg","","","1544037736","2018","12"
"16038","42440","black_lion_hopsital.jpg","public://news/featured/header/black_lion_hopsital.jpg","image/jpeg","","","1544037939","2018","12"
"16041","42441","10898897113_b06406e17a_o.jpg","public://news/featured/header/10898897113_b06406e17a_o.jpg","image/jpeg","","","1544038138","2018","12"
"16042","42442","dsc03661_1.jpg","public://news/featured/header/dsc03661_1.jpg","image/jpeg","","","1544038340","2018","12"
"15706","39530","img_0980_retouched.jpg","public://news/featured/header/img_0980_retouched.jpg","image/jpeg","","","1541524742","2018","11"
"16014","39535","slider-cancer-code.jpg","public://news/featured/header/slider-cancer-code.jpg","image/jpeg","","","1544015841","2018","12"
"16553","41715","mba-ebook_cvr-web_rev.png","public://news/featured/header/mba-ebook_cvr-web_rev.png","image/png","","","1561469389","2019","06"
"16056","39625","mobile_users_2.jpg","public://news/featured/header/mobile_users_2.jpg","image/jpeg","","","1544041082","2018","12"
"16054","39651","pills2_2.jpg","public://news/featured/header/pills2_2.jpg","image/jpeg","","","1544040891","2018","12"
"16058","39687","cirrhosis_of_the_liver_with_hepatic_steatosis_and_chronic_hepatitis_2.jpg","public://news/featured/header/cirrhosis_of_the_liver_with_hepatic_steatosis_and_chronic_hepatitis_2.jpg","image/jpeg","","","1544041712","2018","12"
"16060","39699","171115r203_2.jpg","public://news/featured/header/171115r203_2.jpg","image/jpeg","","","1544041842","2018","12"
"16064","39739","17c10201-p17-006_2.jpg","public://news/featured/header/17c10201-p17-006_2.jpg","image/jpeg","","","1544042568","2018","12"
